var,plev,plev_pa,plev_hpa,raw_min,raw_max,p01,p99,p05,p95
wind_speed,surface,,,0.00013050744018983096,20.667041778564453,0.21252199932932855,10.567862510681152,0.514865517616272,8.732468605041504
wind_speed,50hPa,5000,50,0.0002388875582255423,73.92709350585938,0.4139193579554558,52.59360885620117,1.0781315565109253,36.407981872558594
wind_speed,100hPa,10000,100,0.00018274820467922837,70.81876373291016,0.8101850134134293,43.42022327423092,1.9917405784130096,33.841468811035156
wind_speed,150hPa,15000,150,0.0012766808504238725,90.64153289794922,1.0384583473205566,49.93275451660156,2.415879726409912,39.006324958801315
wind_speed,200hPa,20000,200,0.0002834068436641246,98.32365417480469,1.0672502517700195,53.34452438354492,2.463902235031128,40.68454360961914
wind_speed,250hPa,25000,250,0.0004303120367694646,93.34984588623047,0.9962858527898789,49.24121856689453,2.3120126724243164,38.064544677734375
wind_speed,300hPa,30000,300,0.00011175586405443028,84.09884643554688,0.8615401977300644,43.559288101196216,2.0250279903411865,34.369171142578125
wind_speed,400hPa,40000,400,0.0004389256937429309,65.79362487792969,0.6057872170209885,34.55046463012695,1.4600568950176238,27.90807342529297
wind_speed,500hPa,50000,500,0.0003989877295680344,50.525936126708984,0.5169867873191833,28.58660888671875,1.239379644393921,23.198040008544922
wind_speed,600hPa,60000,600,0.00043394582462497056,38.91487121582031,0.4700488439202309,24.18445587158203,1.148943656682968,19.654440021514915
wind_speed,700hPa,70000,700,0.00013855393626727164,30.61440086364746,0.41797927021980286,20.720048904418945,1.0615240335464478,16.81792449951172
wind_speed,850hPa,85000,850,9.528666851110756e-05,29.40522003173828,0.33125019043684006,17.179229755401593,0.8645507097244263,13.714191436767578
wind_speed,925hPa,92500,925,0.000294603145448491,29.150938034057617,0.2786445915699005,15.863388061523438,0.7319650053977966,12.534229278564453
wind_speed,1000hPa,100000,1000,0.00012041142326779664,20.579566955566406,0.19990037381649017,11.252889633178711,0.49682870209217067,9.446663904190075
wind_speed,total,,,9.528666851110756e-05,98.32365417480469,0.19990037381649017,53.34452438354492,0.49682870209217067,40.68454360961914
